Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_090084_20180619_20180620_01_RT,LC80900842018170LGN00,2018/06/19,RT,1, 090, 084, 090, 084,NADIR,0,2018/06/20,2018:170:23:48:58.7694470,2018:170:23:49:30.5394460,LGN,DAY,56.39,56.64,438,4,6.898,4.538,5.195,9,LPGS_13.1.0,23.94781055,33.36874194,PRELIMINARY,OLI_TIRS_L1TP,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180619230759_20180619235258.01,LT8BPF20180613095151_20180613103356.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,34°36'38.12"S,149°50'03.98"E,33°33'16.31"S,149°03'41.26"E,33°56'53.48"S,151°05'33.29"E,35°15'57.20"S,148°33'20.20"E,35°39'59.62"S,150°37'42.89"E,-34.61059,149.83444,-33.55453,149.06146,-33.94819,151.09258,-35.26589,148.55561,-35.66656,150.62858,LC08_L1TP_090084_20180619_20180620_01_RT,LC80900842018170LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018170LGN00
LC08_L1TP_090084_20180603_20180615_01_T1,LC80900842018154LGN00,2018/06/03,T1,1, 090, 084, 090, 084,NADIR,0,2018/06/15,2018:154:23:48:48.8341950,2018:154:23:49:20.6041930,LGN,DAY,67.9,68.68,249,4,6.847,4.556,5.112,9,LPGS_13.1.0,25.19463902,33.24635886,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15821,7951,7911,7951,7911,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180603230749_20180603235248.01,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,34°36'39.02"S,149°50'09.71"E,33°33'17.21"S,149°03'47.27"E,33°56'54.35"S,151°05'38.83"E,35°15'58.18"S,148°33'26.14"E,35°40'00.55"S,150°37'48.43"E,-34.61084,149.83603,-33.55478,149.06313,-33.94843,151.09412,-35.26616,148.55726,-35.66682,150.63012,LC08_L1TP_090084_20180603_20180615_01_T1,LC80900842018154LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018154LGN00
LC08_L1TP_090084_20180518_20180604_01_T1,LC80900842018138LGN00,2018/05/18,T1,1, 090, 084, 090, 084,NADIR,0,2018/06/04,2018:138:23:49:00.0379500,2018:138:23:49:31.8079490,LGN,DAY,54.83,56.52,233,4,6.52,4.623,4.598,9,LPGS_13.1.0,27.77277955,34.25704491,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180518230848_20180518235259.02,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,34°36'38.56"S,149°51'15.77"E,33°33'19.12"S,149°04'49.58"E,33°56'49.96"S,151°06'41.18"E,35°16'01.63"S,148°34'35.83"E,35°39'57.53"S,150°38'58.31"E,-34.61071,149.85438,-33.55531,149.08044,-33.94721,151.11144,-35.26712,148.57662,-35.66598,150.64953,LC08_L1TP_090084_20180518_20180604_01_T1,LC80900842018138LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018138LGN00
LC08_L1TP_090084_20180502_20180516_01_T1,LC80900842018122LGN00,2018/05/02,T1,1, 090, 084, 090, 084,NADIR,-.001,2018/05/16,2018:122:23:49:10.9373660,2018:122:23:49:42.7073640,LGN,DAY,.14,.13,713,4,4.949,3.403,3.593,9,LPGS_13.1.0,31.30076167,36.6951682,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180502213117_20180502235310.01,LT8BPF20180430100912_20180514113108.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,34°36'39.10"S,149°51'24.52"E,33°33'19.76"S,149°04'58.76"E,33°56'50.68"S,151°06'50.08"E,35°16'02.21"S,148°34'44.76"E,35°39'58.25"S,150°39'06.88"E,-34.61086,149.85681,-33.55549,149.08299,-33.94741,151.11391,-35.26728,148.5791,-35.66618,150.65191,LC08_L1TP_090084_20180502_20180516_01_T1,LC80900842018122LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018122LGN00
LC08_L1TP_090084_20180416_20180501_01_T1,LC80900842018106LGN00,2018/04/16,T1,1, 090, 084, 090, 084,NADIR,-.001,2018/05/01,2018:106:23:49:19.7267720,2018:106:23:49:51.4967700,LGN,DAY,27.43,30.28,323,4,5.412,3.751,3.901,9,LPGS_13.0.0,35.39843472,40.6299746,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180416231155_20180416235943.03,LT8BPF20180414000401_20180430074753.01,LC08CPF_20180401_20180630_01.01,LC08RLUT_20150303_20431231_01_12.h5,34°36'38.66"S,149°51'53.03"E,33°33'19.04"S,149°05'27.42"E,33°56'50.24"S,151°07'18.55"E,35°16'01.60"S,148°35'13.16"E,35°39'57.89"S,150°39'35.10"E,-34.61074,149.86473,-33.55529,149.09095,-33.94729,151.12182,-35.26711,148.58699,-35.66608,150.65975,LC08_L1TP_090084_20180416_20180501_01_T1,LC80900842018106LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018106LGN00
LC08_L1TP_090084_20180331_20180416_01_T1,LC80900842018090LGN00,2018/03/31,T1,1, 090, 084, 090, 084,NADIR,-.001,2018/04/16,2018:090:23:49:28.9694760,2018:090:23:50:00.7394750,LGN,DAY,5.79,5.51,716,4,4.489,3.124,3.224,9,LPGS_13.0.0,39.69945085,45.9702425,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15801,7961,7901,7961,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180331231339_20180401000128.02,LT8BPF20180331195309_20180413213732.01,LC08CPF_20180101_20180331_01.03,LC08RLUT_20150303_20431231_01_12.h5,34°36'38.77"S,149°52'02.82"E,33°33'19.12"S,149°05'37.10"E,33°56'50.71"S,151°07'28.67"E,35°16'01.38"S,148°35'22.45"E,35°39'58.07"S,150°39'44.78"E,-34.61077,149.86745,-33.55531,149.09364,-33.94742,151.12463,-35.26705,148.58957,-35.66613,150.66244,LC08_L1TP_090084_20180331_20180416_01_T1,LC80900842018090LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018090LGN00
LC08_L1TP_090084_20180315_20180320_01_T1,LC80900842018074LGN00,2018/03/15,T1,1, 090, 084, 090, 084,NADIR,-.001,2018/03/20,2018:074:23:49:35.4600590,2018:074:23:50:07.2300580,LGN,DAY,59.34,60.94,144,4,6.101,4.53,4.087,9,LPGS_13.0.0,43.89926434,52.43720931,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15801,7961,7901,7961,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180315222241_20180316000110.01,LT8BPF20180302135148_20180316101045.01,LC08CPF_20180101_20180331_01.02,LC08RLUT_20150303_20431231_01_12.h5,34°36'38.59"S,149°52'36.30"E,33°33'18.68"S,149°06'10.55"E,33°56'50.78"S,151°08'02.65"E,35°16'00.88"S,148°35'55.46"E,35°39'58.10"S,150°40'18.30"E,-34.61072,149.87675,-33.55519,149.10293,-33.94744,151.13407,-35.26691,148.59874,-35.66614,150.67175,LC08_L1TP_090084_20180315_20180320_01_T1,LC80900842018074LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018074LGN00
LC08_L1TP_090084_20180227_20180308_01_T1,LC80900842018058LGN00,2018/02/27,T1,1, 090, 084, 090, 084,NADIR,-.001,2018/03/08,2018:058:23:49:44.8269270,2018:058:23:50:16.5969250,LGN,DAY,3.72,4.83,723,4,5.003,3.067,3.953,9,LPGS_13.0.0,47.80014435,59.51975857,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15821,7961,7911,7961,7911,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180227214036_20180228000120.01,LT8BPF20180215111236_20180302113150.01,LC08CPF_20180101_20180331_01.02,LC08RLUT_20150303_20431231_01_12.h5,34°36'38.48"S,149°52'10.06"E,33°33'18.47"S,149°05'44.59"E,33°56'50.89"S,151°07'36.37"E,35°16'00.55"S,148°35'29.08"E,35°39'58.10"S,150°39'51.55"E,-34.61069,149.86946,-33.55513,149.09572,-33.94747,151.12677,-35.26682,148.59141,-35.66614,150.66432,LC08_L1TP_090084_20180227_20180308_01_T1,LC80900842018058LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018058LGN00
LC08_L1TP_090084_20180211_20180222_01_T1,LC80900842018042LGN00,2018/02/11,T1,1, 090, 084, 090, 084,NADIR,-.001,2018/02/22,2018:042:23:49:51.5707180,2018:042:23:50:23.3407160,LGN,DAY,5.75,5.59,537,4,6.272,4.021,4.813,9,LPGS_13.0.0,51.3286126,66.47768798,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15821,7961,7911,7961,7911,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180211232024_20180212000126.01,LT8BPF20180201043308_20180215103000.01,LC08CPF_20180101_20180331_01.02,LC08RLUT_20150303_20431231_01_12.h5,34°36'38.92"S,149°52'04.87"E,33°33'18.86"S,149°05'39.91"E,33°56'51.61"S,151°07'31.44"E,35°16'00.91"S,148°35'23.89"E,35°39'58.79"S,150°39'46.19"E,-34.61081,149.86802,-33.55524,149.09442,-33.94767,151.1254,-35.26692,148.58997,-35.66633,150.66283,LC08_L1TP_090084_20180211_20180222_01_T1,LC80900842018042LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018042LGN00
LC08_L1TP_090084_20180126_20180207_01_T1,LC80900842018026LGN00,2018/01/26,T1,1, 090, 084, 090, 084,NADIR,-.001,2018/02/07,2018:026:23:49:58.2743680,2018:026:23:50:30.0443670,LGN,DAY,85.32,85.41,228,4,8.079,5.154,6.222,9,LPGS_13.0.0,54.47805226,72.39999699,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15821,7961,7911,7961,7911,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20180126214225_20180127000133.01,LT8BPF20180116103838_20180201021239.01,LC08CPF_20180101_20180331_01.01,LC08RLUT_20150303_20431231_01_12.h5,34°36'39.20"S,149°51'43.24"E,33°33'18.86"S,149°05'18.96"E,33°56'51.79"S,151°07'09.44"E,35°16'01.06"S,148°35'02.40"E,35°39'59.04"S,150°39'23.62"E,-34.61089,149.86201,-33.55524,149.0886,-33.94772,151.11929,-35.26696,148.584,-35.6664,150.65656,LC08_L1TP_090084_20180126_20180207_01_T1,LC80900842018026LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842018026LGN00
