Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_090084_20140131_20170426_01_T1,LC80900842014031LGN01,2014/01/31,T1,1, 090, 084, 090, 084,NADIR,-.001,2017/04/26,2014:031:23:51:05.8607000,2014:031:23:51:37.6306960,LGN,DAY,11.06,13.17,472,4,5.798,3.245,4.805,9,LPGS_2.7.0,53.75064483,70.47368118,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20140131232205_20140201000352.01,LT8BPF20140131231811_20140201000445.01,LC08CPF_20140101_20140331_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'38.20"S,149°50'50.64"E,33°33'18.54"S,149°04'27.01"E,33°56'49.13"S,151°06'14.65"E,35°16'01.88"S,148°34'12.29"E,35°39'57.53"S,150°38'30.59"E,-34.61061,149.8474,-33.55515,149.07417,-33.94698,151.10407,-35.26719,148.57008,-35.66598,150.64183,LC08_L1TP_090084_20140131_20170426_01_T1,LC80900842014031LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842014031LGN01
LC08_L1TP_090084_20140115_20170426_01_T1,LC80900842014015LGN01,2014/01/15,T1,1, 090, 084, 090, 084,NADIR,-.001,2017/04/26,2014:015:23:51:10.7490790,2014:015:23:51:42.5190750,LGN,DAY,.02,.28,728,4,5.596,2.944,4.758,9,LPGS_2.7.0,56.66574143,75.09015593,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15801,7961,7901,7961,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20140115232322_20140116000221.01,LT8BPF20140115231928_20140116000314.03,LC08CPF_20140101_20140331_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'39.42"S,149°52'01.96"E,33°33'19.44"S,149°05'37.25"E,33°56'50.96"S,151°07'27.26"E,35°16'02.10"S,148°35'22.24"E,35°39'58.68"S,150°39'42.88"E,-34.61095,149.86721,-33.5554,149.09368,-33.94749,151.12424,-35.26725,148.58951,-35.6663,150.66191,LC08_L1TP_090084_20140115_20170426_01_T1,LC80900842014015LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842014015LGN01
LC08_L1TP_090084_20131230_20170427_01_T1,LC80900842013364LGN01,2013/12/30,T1,1, 090, 084, 090, 084,NADIR,-.001,2017/04/27,2013:364:23:51:26.4065350,2013:364:23:51:58.1765310,LGN,DAY,5.34,5.24,601,4,5.773,3.443,4.633,9,LPGS_2.7.0,59.1092152,76.9897452,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20131230232401_20131231001213.01,LT8BPF20131230232007_20131231001306.01,LC08CPF_20131026_20131231_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'38.34"S,149°50'14.64"E,33°33'18.43"S,149°03'48.49"E,33°56'51.00"S,151°05'41.68"E,35°16'00.23"S,148°33'33.19"E,35°39'57.85"S,150°37'57.04"E,-34.61065,149.8374,-33.55512,149.06347,-33.9475,151.09491,-35.26673,148.55922,-35.66607,150.63251,LC08_L1TP_090084_20131230_20170427_01_T1,LC80900842013364LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842013364LGN01
LC08_L1TP_090084_20131214_20170427_01_T1,LC80900842013348LGN01,2013/12/14,T1,1, 090, 084, 090, 084,NADIR,0,2017/04/27,2013:348:23:51:34.6248330,2013:348:23:52:06.3948290,LGN,DAY,68.31,69.38,107,4,7.958,5.135,6.08,9,LPGS_2.7.0,60.78364895,75.45852008,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20131214232409_20131215001221.01,LT8BPF20131214232015_20131215001314.01,LC08CPF_20131026_20131231_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'38.66"S,149°50'05.17"E,33°33'18.68"S,149°03'37.87"E,33°56'52.01"S,151°05'33.29"E,35°15'59.69"S,148°33'22.32"E,35°39'58.07"S,150°37'48.50"E,-34.61074,149.83477,-33.55519,149.06052,-33.94778,151.09258,-35.26658,148.5562,-35.66613,150.63014,LC08_L1TP_090084_20131214_20170427_01_T1,LC80900842013348LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842013348LGN01
LC08_L1GT_090084_20131128_20170428_01_T2,LC80900842013332LGN01,2013/11/28,T2,1, 090, 084, 090, 084,NADIR,-.001,2017/04/28,2013:332:23:51:39.0814090,2013:332:23:52:10.8514050,LGN,DAY,99.94,99.95,-1,4,0,0,0,9,LPGS_2.7.0,61.19911637,70.57308683,ACTUAL,OLI_TIRS_L1GT,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20131128232350_20131129000426.01,LT8BPF20131128231956_20131129000519.01,LC08CPF_20131026_20131231_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'38.41"S,149°50'38.33"E,33°33'18.54"S,149°04'11.17"E,33°56'52.19"S,151°06'07.06"E,35°15'59.33"S,148°33'55.30"E,35°39'58.10"S,150°38'22.06"E,-34.61067,149.84398,-33.55515,149.06977,-33.94783,151.10196,-35.26648,148.56536,-35.66614,150.63946,LC08_L1GT_090084_20131128_20170428_01_T2,LC80900842013332LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842013332LGN01
LC08_L1TP_090084_20131112_20170428_01_T1,LC80900842013316LGN01,2013/11/12,T1,1, 090, 084, 090, 084,NADIR,-.001,2017/04/28,2013:316:23:51:45.2698750,2013:316:23:52:17.0398710,LGN,DAY,30.57,30.62,352,4,6.158,3.963,4.713,9,LPGS_2.7.0,59.87656116,63.66083578,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15821,7951,7911,7951,7911,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20131112234303_20131113000320.01,LT8BPF20131112233909_20131113000413.01,LC08CPF_20131026_20131231_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'39.53"S,149°50'32.89"E,33°33'19.22"S,149°04'07.54"E,33°56'52.44"S,151°06'00.04"E,35°16'00.91"S,148°33'51.16"E,35°39'59.26"S,150°38'14.57"E,-34.61098,149.84247,-33.55534,149.06876,-33.9479,151.10001,-35.26692,148.56421,-35.66646,150.63738,LC08_L1TP_090084_20131112_20170428_01_T1,LC80900842013316LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842013316LGN01
LC08_L1TP_090084_20131027_20170429_01_T1,LC80900842013300LGN01,2013/10/27,T1,1, 090, 084, 090, 084,NADIR,-.001,2017/04/29,2013:300:23:51:44.8799430,2013:300:23:52:16.6499390,LGN,DAY,62.01,63.41,183,4,6.729,4.756,4.761,9,LPGS_2.7.0,56.71178682,56.65904718,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15821,7961,7911,7961,7911,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20131027232244_20131028000320.01,LT8BPF20131027231850_20131028000413.01,LC08CPF_20131026_20131231_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'38.16"S,149°51'56.02"E,33°33'17.75"S,149°05'33.14"E,33°56'50.21"S,151°07'21.11"E,35°16'00.66"S,148°35'16.33"E,35°39'58.32"S,150°39'35.10"E,-34.6106,149.86556,-33.55493,149.09254,-33.94728,151.12253,-35.26685,148.58787,-35.6662,150.65975,LC08_L1TP_090084_20131027_20170429_01_T1,LC80900842013300LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842013300LGN01
LC08_L1TP_090084_20131011_20170429_01_T1,LC80900842013284LGN01,2013/10/11,T1,1, 090, 084, 090, 084,NADIR,-.001,2017/04/29,2013:284:23:51:54.6811000,2013:284:23:52:26.4510960,LGN,DAY,0,0,728,4,4.202,2.568,3.327,9,LPGS_2.7.0,52.04105874,50.86391564,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20131011232254_20131011235530.01,LT8BPF20131011231900_20131011235623.01,LC08CPF_20131001_20131025_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'37.91"S,149°50'32.03"E,33°33'17.39"S,149°04'09.95"E,33°56'49.88"S,151°05'56.87"E,35°16'00.48"S,148°33'52.85"E,35°39'58.07"S,150°38'10.46"E,-34.61053,149.84223,-33.55483,149.06943,-33.94719,151.09913,-35.2668,148.56468,-35.66613,150.63624,LC08_L1TP_090084_20131011_20170429_01_T1,LC80900842013284LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842013284LGN01
LC08_L1TP_090084_20130925_20180203_01_T1,LC80900842013268LGN02,2013/09/25,T1,1, 090, 084, 090, 084,NADIR,-.001,2018/02/03,2013:268:23:51:54.2857800,2013:268:23:52:26.0557760,LGN,DAY,33.99,32.58,529,4,3.75,2.335,2.934,9,LPGS_13.0.0,46.46825815,46.452103,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20130925232230_20130925235442.01,LT8BPF20130925231836_20130925235535.01,LC08CPF_20130920_20130930_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'38.27"S,149°51'27.72"E,33°33'17.75"S,149°05'05.28"E,33°56'50.60"S,151°06'53.03"E,35°16'00.62"S,148°34'48.14"E,35°39'58.57"S,150°39'06.44"E,-34.61063,149.8577,-33.55493,149.0848,-33.94739,151.11473,-35.26684,148.58004,-35.66627,150.65179,LC08_L1TP_090084_20130925_20180203_01_T1,LC80900842013268LGN02,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842013268LGN02
LC08_L1TP_090084_20130909_20170502_01_T1,LC80900842013252LGN01,2013/09/09,T1,1, 090, 084, 090, 084,NADIR,-.001,2017/05/02,2013:252:23:52:02.7756540,2013:252:23:52:34.5456500,LGN,DAY,13.1,12.94,698,4,3.259,2.19,2.414,9,LPGS_2.7.0,40.62176584,43.08620675,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,15901,15821,7951,7911,7951,7911,UTM,55,WGS84,WGS84,15,30,30,LO8BPF20130909232238_20130909235538.01,LT8BPF20130909231844_20130909235631.01,LC08CPF_20130701_20130919_01.01,LC08RLUT_20130211_20150302_01_11.h5,34°36'38.88"S,149°49'55.63"E,33°33'18.25"S,149°03'31.10"E,33°56'52.19"S,151°05'23.03"E,35°15'59.98"S,148°33'13.72"E,35°39'59.00"S,150°37'36.26"E,-34.6108,149.83212,-33.55507,149.05864,-33.94783,151.08973,-35.26666,148.55381,-35.66639,150.62674,LC08_L1TP_090084_20130909_20170502_01_T1,LC80900842013252LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80900842013252LGN01
