Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LE07_L1GT_090084_20090922_20161217_01_T2,LE70900842009265ASN00,2009/09/22,LANDSAT_7,OFF,T2,1,BUMPER, 090, 084,2016/12/17,2009:265:23:40:13.0490624,2009:265:23:40:39.8031250,ASN - Alice Springs  Australia,Day,97,97,-1,-1,,,,9,N,LPGS_12.8.2,FULL,43.54903746,49.07989923,DE,.3963,ETM_L1GT,ETM,DEFINITIVE,14501,16541,7251,8271,7251,8271,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090701_20090930_01.02,2,34°36'55.33"S,149°48'49.61"E,33°39'39.85"S,149°00'36.04"E,33°57'34.42"S,151°04'11.82"E,35°15'29.95"S,148°32'18.74"E,35°33'46.40"S,150°38'20.69"E,-34.61537,149.81378,-33.66107,149.01001,-33.95956,151.06995,-35.25832,148.53854,-35.56289,150.63908,LE07_L1GT_090084_20090922_20161217_01_T2,LE70900842009265ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009265ASN00
LE07_L1GT_090084_20090906_20161218_01_T2,LE70900842009249ASA00,2009/09/06,LANDSAT_7,OFF,T2,1,BUMPER, 090, 084,2016/12/18,2009:249:23:40:14.6958749,2009:249:23:40:41.4499375,ASA - Alice Springs  Austrailia,Day,94,94,-1,-1,,,,9,N,LPGS_12.8.2,FULL,37.8236029,45.62467526,DE,-15.828369,ETM_L1GT,ETM,DEFINITIVE,14561,16541,7281,8271,7281,8271,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090701_20090930_01.02,2,34°36'54.83"S,149°49'25.64"E,33°39'44.46"S,149°01'10.31"E,33°57'40.18"S,151°04'49.37"E,35°15'33.19"S,148°32'51.00"E,35°33'50.44"S,150°38'56.47"E,-34.61523,149.82379,-33.66235,149.01953,-33.96116,151.08038,-35.25922,148.5475,-35.56401,150.64902,LE07_L1GT_090084_20090906_20161218_01_T2,LE70900842009249ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009249ASA00
LE07_L1TP_090084_20090821_20161219_01_T1,LE70900842009233ASN00,2009/08/21,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/12/19,2009:233:23:40:14.9153749,2009:233:23:40:41.6694375,ASN - Alice Springs  Australia,Day,10,9,161,4,4.564,3.323,3.128,9,N,LPGS_12.8.2,FULL,32.4912591,42.74922952,DE,2.176013,ETM_L1TP,ETM,DEFINITIVE,14581,16561,7291,8281,7291,8281,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090701_20090930_01.02,2,34°36'54.50"S,149°50'07.12"E,33°39'31.97"S,149°01'51.89"E,33°57'27.94"S,151°05'32.10"E,35°15'21.38"S,148°33'34.02"E,35°33'39.13"S,150°39'40.64"E,-34.61514,149.83531,-33.65888,149.03108,-33.95776,151.09225,-35.25594,148.55945,-35.56087,150.66129,LE07_L1TP_090084_20090821_20161219_01_T1,LE70900842009233ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009233ASN00
LE07_L1TP_090084_20090805_20161220_01_T1,LE70900842009217ASA00,2009/08/05,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/12/20,2009:217:23:40:16.7484375,2009:217:23:40:43.5024374,ASA - Alice Springs  Austrailia,Day,47,48,88,4,4.96,3.742,3.256,9,N,LPGS_12.8.2,FULL,28.03147315,40.22476731,DE,-15.676173,ETM_L1TP,ETM,DEFINITIVE,14501,16561,7251,8281,7251,8281,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090701_20090930_01.02,2,34°36'52.67"S,149°50'05.53"E,33°39'34.52"S,149°01'53.11"E,33°57'30.49"S,151°05'31.56"E,35°15'23.47"S,148°33'33.48"E,35°33'41.18"S,150°39'38.38"E,-34.61463,149.83487,-33.65959,149.03142,-33.95847,151.0921,-35.25652,148.5593,-35.56144,150.66066,LE07_L1TP_090084_20090805_20161220_01_T1,LE70900842009217ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009217ASA00
LE07_L1TP_090084_20090720_20161220_01_T1,LE70900842009201ASN00,2009/07/20,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/12/20,2009:201:23:40:22.3733749,2009:201:23:40:49.1274999,ASN - Alice Springs  Australia,Day,0,0,183,4,4.958,3.741,3.254,9,N,LPGS_12.8.2,FULL,24.81892059,38.02271612,DE,-5.861245,ETM_L1TP,ETM,DEFINITIVE,14501,16541,7251,8271,7251,8271,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090701_20090930_01.02,2,34°36'52.67"S,149°48'54.83"E,33°39'45.25"S,149°00'41.80"E,33°57'40.97"S,151°04'17.58"E,35°15'34.45"S,148°32'21.66"E,35°33'51.88"S,150°38'23.82"E,-34.61463,149.81523,-33.66257,149.01161,-33.96138,151.07155,-35.25957,148.53935,-35.56441,150.63995,LE07_L1TP_090084_20090720_20161220_01_T1,LE70900842009201ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009201ASN00
LE07_L1TP_090084_20090704_20161219_01_T1,LE70900842009185ASA00,2009/07/04,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/12/19,2009:185:23:40:26.5981875,2009:185:23:40:53.3522499,ASA - Alice Springs  Austrailia,Day,6,6,179,4,5.669,4.444,3.52,9,N,LPGS_12.8.2,FULL,23.1059491,36.27180633,DE,.27011,ETM_L1TP,ETM,DEFINITIVE,14501,16561,7251,8281,7251,8281,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090701_20090930_01.02,2,34°36'51.95"S,149°48'00.68"E,33°39'30.67"S,148°59'47.87"E,33°57'26.06"S,151°03'20.84"E,35°15'23.54"S,148°31'31.51"E,35°33'40.82"S,150°37'30.86"E,-34.61443,149.80019,-33.65852,148.99663,-33.95724,151.05579,-35.25654,148.52542,-35.56134,150.62524,LE07_L1TP_090084_20090704_20161219_01_T1,LE70900842009185ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009185ASA00
LE07_L1TP_090084_20090618_20161220_01_T1,LE70900842009169ASN00,2009/06/18,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/12/20,2009:169:23:40:29.5655624,2009:169:23:40:56.3195624,ASN - Alice Springs  Australia,Day,40,40,93,4,5.445,4.276,3.371,9,N,LPGS_12.8.2,FULL,22.96254083,35.21732783,DE,4.647806,ETM_L1TP,ETM,DEFINITIVE,14541,16541,7271,8271,7271,8271,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090401_20090630_01.02,2,34°36'52.31"S,149°47'14.57"E,33°39'37.37"S,148°59'00.85"E,33°57'33.48"S,151°02'33.94"E,35°15'24.98"S,148°30'43.96"E,35°33'42.26"S,150°36'43.31"E,-34.61453,149.78738,-33.66038,148.98357,-33.9593,151.04276,-35.25694,148.51221,-35.56174,150.61203,LE07_L1TP_090084_20090618_20161220_01_T1,LE70900842009169ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009169ASN00
LE07_L1GT_090084_20090602_20161220_01_T2,LE70900842009153ASA00,2009/06/02,LANDSAT_7,OFF,T2,1,BUMPER, 090, 084,2016/12/20,2009:153:23:40:31.0523750,2009:153:23:40:57.8063750,ASA - Alice Springs  Austrailia,Day,81,80,-1,-1,,,,9,N,LPGS_12.8.2,FULL,24.29900799,35.16334214,DE,3.46223,ETM_L1GT,ETM,DEFINITIVE,14561,16541,7281,8271,7281,8271,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090401_20090630_01.02,2,34°36'51.19"S,149°46'47.28"E,33°39'34.42"S,148°58'34.68"E,33°57'30.60"S,151°02'10.14"E,35°15'23.65"S,148°30'14.44"E,35°33'41.54"S,150°36'16.13"E,-34.61422,149.7798,-33.65956,148.9763,-33.9585,151.03615,-35.25657,148.50401,-35.56154,150.60448,LE07_L1GT_090084_20090602_20161220_01_T2,LE70900842009153ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009153ASA00
LE07_L1TP_090084_20090517_20161220_01_T1,LE70900842009137ASA00,2009/05/17,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/12/20,2009:137:23:40:30.9399374,2009:137:23:40:57.6940000,ASA - Alice Springs  Austrailia,Day,26,26,117,4,4.717,3.458,3.208,9,N,LPGS_12.8.2,FULL,26.87638346,36.3707793,DE,12.566155,ETM_L1TP,ETM,DEFINITIVE,14501,16541,7251,8271,7251,8271,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090401_20090630_01.02,2,34°36'51.95"S,149°46'40.30"E,33°39'39.24"S,148°58'27.55"E,33°57'36.04"S,151°02'06.29"E,35°15'28.19"S,148°30'07.60"E,35°33'46.19"S,150°36'12.71"E,-34.61443,149.77786,-33.6609,148.97432,-33.96001,151.03508,-35.25783,148.50211,-35.56283,150.60353,LE07_L1TP_090084_20090517_20161220_01_T1,LE70900842009137ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009137ASA00
LE07_L1TP_090084_20090501_20161220_01_T1,LE70900842009121ASN00,2009/05/01,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/12/20,2009:121:23:40:28.9663125,2009:121:23:40:55.7203750,ASN - Alice Springs  Australia,Day,9,9,126,4,4.551,3.161,3.274,9,N,LPGS_12.8.2,FULL,30.34715994,39.03123006,DE,-12.228101,ETM_L1TP,ETM,DEFINITIVE,14501,16561,7251,8281,7251,8281,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20090401_20090630_01.02,2,34°36'52.99"S,149°46'57.43"E,33°39'34.20"S,148°58'42.92"E,33°57'31.18"S,151°02'23.21"E,35°15'22.75"S,148°30'21.53"E,35°33'41.36"S,150°36'28.19"E,-34.61472,149.78262,-33.6595,148.97859,-33.95866,151.03978,-35.25632,148.50598,-35.56149,150.60783,LE07_L1TP_090084_20090501_20161220_01_T1,LE70900842009121ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842009121ASN00
