Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Collection Category,Collection Number,Sensor Mode,WRS Type,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meter),Geometric RMSE Model X,Geometric RMSE Model Y,Sensor Anomalies,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Scene Mode,Data Type Level-1,Sensor Identifier,Ephemeris Type,Reflective Lines,Reflective Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Reflective,Calibration Parameter File,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Ordering ID,Browse Link
LM05_L1GS_090084_19870801_20180329_01_T2,LM50900841987213ASA01,1987/08/01,LANDSAT_5,T2,1,,2, 090, 084,2018/03/29,1987:213:23:15:41.5860000,1987:213:23:16:10.1470000,ASA,DAY,58,53,-1,-1,,,,N,7,N,LPGS_13.0.1,FULL,23.57106171,44.80788672,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3799,3929,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°49'59.99"E,33°41'41.53"S,149°03'31.50"E,33°58'51.31"S,151°01'46.96"E,35°27'58.00"S,150°37'32.59"E,35°10'29.64"S,148°37'13.37"E,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.46611,150.62572,-35.1749,148.62038,LM05_L1GS_090084_19870801_20180329_01_T2,LM50900841987213ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987213ASA01
LM05_L1TP_090084_19870716_20180329_01_T2,LM50900841987197ASA01,1987/07/16,LANDSAT_5,T2,1,,2, 090, 084,2018/03/29,1987:197:23:15:15.0030000,1987:197:23:15:43.5600000,ASA,DAY,18,15,158,4,22.648,12.954,18.578,N,8,N,LPGS_13.0.1,FULL,20.8664792,42.64108657,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3799,3931,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°49'59.99"E,33°41'41.53"S,149°03'31.50"E,33°58'51.31"S,151°01'46.96"E,35°27'58.00"S,150°37'32.59"E,35°10'29.64"S,148°37'13.37"E,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.46611,150.62572,-35.1749,148.62038,LM05_L1TP_090084_19870716_20180329_01_T2,LM50900841987197ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987197ASA01
LM05_L1TP_090084_19870630_20180329_01_T2,LM50900841987181ASA01,1987/06/30,LANDSAT_5,T2,1,,2, 090, 084,2018/03/29,1987:181:23:14:57.6800000,1987:181:23:15:26.2400000,ASA,DAY,47,42,116,4,27.949,18.232,21.184,N,9,N,LPGS_13.0.1,FULL,19.66307727,41.09391106,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3798,3938,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°48'00.00"E,33°41'41.53"S,149°01'31.51"E,33°58'51.31"S,150°59'46.97"E,35°27'58.00"S,150°35'32.60"E,35°10'29.64"S,148°35'13.38"E,-34.58333,149.8,-33.69487,149.02542,-33.98092,150.99638,-35.46611,150.59239,-35.1749,148.58705,LM05_L1TP_090084_19870630_20180329_01_T2,LM50900841987181ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987181ASA01
LM05_L1TP_090084_19870614_20180329_01_T2,LM50900841987165ASA01,1987/06/14,LANDSAT_5,T2,1,,2, 090, 084,2018/03/29,1987:165:23:14:37.6600000,1987:165:23:15:06.2200000,ASA,DAY,15,14,325,4,22.154,14.362,16.868,N,9,N,LPGS_13.0.1,FULL,19.96495151,40.43970045,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3798,3942,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'59.98"E,33°41'41.53"S,148°59'31.49"E,33°58'51.31"S,150°57'46.94"E,35°27'58.00"S,150°33'32.58"E,35°10'29.64"S,148°33'13.36"E,-34.58333,149.76666,-33.69487,148.99208,-33.98092,150.96304,-35.46611,150.55905,-35.1749,148.55371,LM05_L1TP_090084_19870614_20180329_01_T2,LM50900841987165ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987165ASA01
LM05_L1TP_090084_19870529_20180328_01_T2,LM50900841987149ASA01,1987/05/29,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:149:23:14:15.3680000,1987:149:23:14:43.9290000,ASA,DAY,38,36,419,4,20.397,13.052,15.674,N,8,N,LPGS_13.0.1,FULL,21.60929092,40.96182963,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3798,3946,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'00.00"E,33°41'41.53"S,148°58'31.51"E,33°58'51.31"S,150°56'46.97"E,35°27'58.00"S,150°32'32.60"E,35°10'29.64"S,148°32'13.38"E,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.46611,150.54239,-35.1749,148.53705,LM05_L1TP_090084_19870529_20180328_01_T2,LM50900841987149ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987149ASA01
LM05_L1GS_090084_19870513_20180328_01_T2,LM50900841987133ASA01,1987/05/13,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:133:23:13:50.6050000,1987:133:23:14:19.1600000,ASA,DAY,44,40,-1,-1,,,,N,9,N,LPGS_13.0.1,FULL,24.3021337,42.87492082,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3797,3939,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'00.00"E,33°41'41.53"S,148°58'31.51"E,33°58'51.31"S,150°56'46.97"E,35°27'58.00"S,150°32'32.60"E,35°10'29.64"S,148°32'13.38"E,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.46611,150.54239,-35.1749,148.53705,LM05_L1GS_090084_19870513_20180328_01_T2,LM50900841987133ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987133ASA01
LM05_L1TP_090084_19870427_20180328_01_T2,LM50900841987117ASA01,1987/04/27,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:117:23:13:22.7550000,1987:117:23:13:51.3100000,ASA,DAY,54,51,338,4,14.534,11.608,8.746,N,9,N,LPGS_13.0.1,FULL,27.65528603,46.30522652,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3797,3934,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°44'00.02"E,33°41'41.53"S,148°57'31.54"E,33°58'51.31"S,150°55'46.99"E,35°27'58.00"S,150°31'32.63"E,35°10'29.64"S,148°31'13.40"E,-34.58333,149.73334,-33.69487,148.95876,-33.98092,150.92972,-35.46611,150.52573,-35.1749,148.52039,LM05_L1TP_090084_19870427_20180328_01_T2,LM50900841987117ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987117ASA01
LM05_L1TP_090084_19870411_20180328_01_T2,LM50900841987101ASA01,1987/04/11,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:101:23:12:52.9430000,1987:101:23:13:21.5000000,ASA,DAY,0,0,797,4,21.252,14.136,15.869,N,9,N,LPGS_13.0.1,FULL,31.33691616,51.13739956,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3797,3931,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'00.00"E,33°41'41.53"S,148°58'31.51"E,33°58'51.31"S,150°56'46.97"E,35°27'58.00"S,150°32'32.60"E,35°10'29.64"S,148°32'13.38"E,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.46611,150.54239,-35.1749,148.53705,LM05_L1TP_090084_19870411_20180328_01_T2,LM50900841987101ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987101ASA01
LM05_L1GS_090084_19870326_20180328_01_T2,LM50900841987085ASA02,1987/03/26,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:085:23:12:20.5000000,1987:085:23:12:49.0530000,ASA,DAY,73,70,-1,-1,,,,N,9,N,LPGS_13.0.1,FULL,35.00599488,57.17309961,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3798,3927,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'00.00"E,33°41'41.53"S,148°58'31.51"E,33°58'51.31"S,150°56'46.97"E,35°27'58.00"S,150°32'32.60"E,35°10'29.64"S,148°32'13.38"E,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.46611,150.54239,-35.1749,148.53705,LM05_L1GS_090084_19870326_20180328_01_T2,LM50900841987085ASA02,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987085ASA02
LM05_L1TP_090084_19870310_20180328_01_T2,LM50900841987069ASA02,1987/03/10,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:069:23:11:46.2900000,1987:069:23:12:14.8500000,ASA,DAY,5,4,356,4,19.941,14.816,13.346,N,9,N,LPGS_13.0.1,FULL,38.48870278,63.93299484,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3798,3935,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'59.98"E,33°41'41.53"S,148°59'31.49"E,33°58'51.31"S,150°57'46.94"E,35°27'58.00"S,150°33'32.58"E,35°10'29.64"S,148°33'13.36"E,-34.58333,149.76666,-33.69487,148.99208,-33.98092,150.96304,-35.46611,150.55905,-35.1749,148.55371,LM05_L1TP_090084_19870310_20180328_01_T2,LM50900841987069ASA02,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987069ASA02
