Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Sensor Anomalies,Data Anomaly,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Data Type Level-1,Sensor Identifier,Ephemeris Type,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LT05_L1TP_090084_19961129_20170101_01_T1,LT50900841996334ASA00,1996/11/29,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/01,1996:334:23:11:33.8346300,1996:334:23:12:00.8529400,ASA,DAY,1,2,159,4,4.532,3.317,3.088,N,,9,N,LPGS_12.8.2,FULL,53.18445601,79.98572793,TM_L1TP,TM,PREDICTIVE,7311,8081,7311,8081,UTM,55,WGS84,WGS84,30,30,LT05CPF_19961001_19961231_01.03,34°36'13.10"S,149°47'46.72"E,33°39'58.82"S,149°02'07.44"E,33°57'09.86"S,151°00'13.93"E,35°14'36.38"S,148°34'15.10"E,35°32'06.72"S,150°34'32.23"E,-34.60364,149.79631,-33.66634,149.0354,-33.95274,151.00387,-35.24344,148.57086,-35.5352,150.57562,LT05_L1TP_090084_19961129_20170101_01_T1,LT50900841996334ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996334ASA00
LT05_L1TP_090084_19961113_20170102_01_T1,LT50900841996318ASA00,1996/11/13,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/02,1996:318:23:10:48.1276300,1996:318:23:11:15.1449400,ASA,DAY,32,31,158,4,4.517,3.319,3.064,N,,9,N,LPGS_12.8.2,FULL,52.09144256,74.49383164,TM_L1TP,TM,PREDICTIVE,7311,8071,7311,8071,UTM,55,WGS84,WGS84,30,30,LT05CPF_19961001_19961231_01.03,34°36'11.02"S,149°47'39.77"E,33°39'56.74"S,149°02'00.53"E,33°57'07.78"S,151°00'06.98"E,35°14'34.30"S,148°34'08.18"E,35°32'04.60"S,150°34'25.25"E,-34.60306,149.79438,-33.66576,149.03348,-33.95216,151.00194,-35.24286,148.56894,-35.53461,150.57368,LT05_L1TP_090084_19961113_20170102_01_T1,LT50900841996318ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996318ASA00
LT05_L1TP_090084_19961028_20170102_01_T1,LT50900841996302ASA00,1996/10/28,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/02,1996:302:23:10:03.1171300,1996:302:23:10:30.1330600,ASA,DAY,0,0,161,4,4.419,3.222,3.024,N,,9,N,LPGS_12.8.2,FULL,49.28072833,68.40680239,TM_L1TP,TM,PREDICTIVE,7301,8061,7301,8061,UTM,55,WGS84,WGS84,30,30,LT05CPF_19961001_19961231_01.03,34°35'55.03"S,149°47'08.41"E,33°39'40.79"S,149°01'29.28"E,33°56'51.79"S,150°59'35.38"E,35°14'18.35"S,148°33'37.08"E,35°31'48.61"S,150°33'53.78"E,-34.59862,149.78567,-33.66133,149.0248,-33.94772,150.99316,-35.23843,148.5603,-35.53017,150.56494,LT05_L1TP_090084_19961028_20170102_01_T1,LT50900841996302ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996302ASA00
LT05_L1TP_090084_19961012_20170103_01_T1,LT50900841996286ASA00,1996/10/12,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/03,1996:286:23:09:15.6360000,1996:286:23:09:42.6503800,ASA,DAY,0,0,210,4,4.438,3.205,3.07,N,,9,N,LPGS_12.8.2,FULL,44.98089675,62.81810138,TM_L1TP,TM,PREDICTIVE,7311,8081,7311,8081,UTM,55,WGS84,WGS84,30,30,LT05CPF_19961001_19961231_01.03,34°35'51.90"S,149°46'52.21"E,33°39'37.66"S,149°01'13.12"E,33°56'48.62"S,150°59'19.14"E,35°14'15.22"S,148°33'20.92"E,35°31'45.48"S,150°33'37.55"E,-34.59775,149.78117,-33.66046,149.02031,-33.94684,150.98865,-35.23756,148.55581,-35.5293,150.56043,LT05_L1TP_090084_19961012_20170103_01_T1,LT50900841996286ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996286ASA00
LT05_L1TP_090084_19960926_20170103_01_T1,LT50900841996270ASA00,1996/09/26,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/03,1996:270:23:08:25.9571300,1996:270:23:08:52.9701900,ASA,DAY,11,12,144,4,3.936,2.769,2.797,N,,9,N,LPGS_12.8.2,FULL,39.70607853,58.14765678,TM_L1TP,TM,PREDICTIVE,7311,8091,7311,8091,UTM,55,WGS84,WGS84,30,30,LT05CPF_19960701_19960930_01.03,34°36'18.50"S,149°46'44.76"E,33°40'04.22"S,149°01'05.45"E,33°57'15.30"S,150°59'12.08"E,35°14'41.78"S,148°33'13.03"E,35°32'12.12"S,150°33'30.31"E,-34.60514,149.7791,-33.66784,149.01818,-33.95425,150.98669,-35.24494,148.55362,-35.5367,150.55842,LT05_L1TP_090084_19960926_20170103_01_T1,LT50900841996270ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996270ASA00
LT05_L1TP_090084_19960910_20170103_01_T1,LT50900841996254ASA00,1996/09/10,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/03,1996:254:23:07:33.9151900,1996:254:23:08:00.9269400,ASA,DAY,8,8,149,4,4.252,2.829,3.174,N,,9,N,LPGS_12.8.2,FULL,34.08541083,54.32258067,TM_L1TP,TM,PREDICTIVE,7311,8101,7311,8101,UTM,55,WGS84,WGS84,30,30,LT05CPF_19960701_19960930_01.03,34°36'15.08"S,149°47'00.53"E,33°40'00.80"S,149°01'21.25"E,33°57'11.88"S,150°59'27.78"E,35°14'38.36"S,148°33'28.87"E,35°32'08.70"S,150°33'46.04"E,-34.60419,149.78348,-33.66689,149.02257,-33.9533,150.99105,-35.24399,148.55802,-35.53575,150.56279,LT05_L1TP_090084_19960910_20170103_01_T1,LT50900841996254ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996254ASA00
LT05_L1TP_090084_19960825_20170103_01_T1,LT50900841996238ASA00,1996/08/25,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/03,1996:238:23:06:40.1148100,1996:238:23:07:07.1250600,ASA,DAY,1,1,201,4,4.192,2.903,3.024,N,,9,N,LPGS_12.8.2,FULL,28.70406063,51.10738876,TM_L1TP,TM,PREDICTIVE,7311,8091,7311,8091,UTM,55,WGS84,WGS84,30,30,LT05CPF_19960701_19960930_01.03,34°36'00.65"S,149°47'28.75"E,33°39'46.37"S,149°01'49.58"E,33°56'57.41"S,150°59'55.79"E,35°14'23.96"S,148°33'57.31"E,35°31'54.23"S,150°34'14.16"E,-34.60018,149.79132,-33.66288,149.03044,-33.94928,150.99883,-35.23999,148.56592,-35.53173,150.5706,LT05_L1TP_090084_19960825_20170103_01_T1,LT50900841996238ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996238ASA00
LT05_L1TP_090084_19960724_20170103_01_T1,LT50900841996206ASA00,1996/07/24,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/03,1996:206:23:04:58.5730600,1996:206:23:05:25.5801900,ASA,DAY,4,4,154,4,4.699,3.311,3.334,N,,9,N,LPGS_12.8.2,FULL,20.59808645,45.91740825,TM_L1TP,TM,PREDICTIVE,7301,8071,7301,8071,UTM,55,WGS84,WGS84,30,30,LT05CPF_19960701_19960930_01.03,34°36'07.63"S,149°46'05.74"E,33°39'53.35"S,149°00'26.53"E,33°57'04.39"S,150°58'32.88"E,35°14'30.91"S,148°32'34.19"E,35°32'01.21"S,150°32'51.22"E,-34.60212,149.76826,-33.66482,149.00737,-33.95122,150.9758,-35.24192,148.54283,-35.53367,150.54756,LT05_L1TP_090084_19960724_20170103_01_T1,LT50900841996206ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996206ASA00
LT05_L1TP_090084_19960708_20170104_01_T1,LT50900841996190ASA00,1996/07/08,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/04,1996:190:23:04:07.1404400,1996:190:23:04:34.1466900,ASA,DAY,20,20,135,4,5.972,4.636,3.764,N,,9,N,LPGS_12.8.2,FULL,18.54841871,44.04529454,TM_L1TP,TM,PREDICTIVE,7301,8061,7301,8061,UTM,55,WGS84,WGS84,30,30,LT05CPF_19960701_19960930_01.03,34°35'38.94"S,149°45'24.08"E,33°39'24.70"S,148°59'45.06"E,33°56'35.66"S,150°57'50.80"E,35°14'02.29"S,148°31'53.00"E,35°31'32.48"S,150°32'09.31"E,-34.59415,149.75669,-33.65686,148.99585,-33.94324,150.96411,-35.23397,148.53139,-35.52569,150.53592,LT05_L1TP_090084_19960708_20170104_01_T1,LT50900841996190ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996190ASA00
LT05_L1GS_090084_19960622_20170104_01_T2,LT50900841996174ASA00,1996/06/22,LANDSAT_5,T2,1,SAM, 090, 084,2017/01/04,1996:174:23:03:17.5906300,1996:174:23:03:44.5953800,ASA,DAY,0,0,-1,-1,,,,N,,7,N,LPGS_12.8.2,FULL,18.00093639,42.94783438,TM_L1GS,TM,PREDICTIVE,7311,8071,7311,8071,UTM,55,WGS84,WGS84,30,30,LT05CPF_19960401_19960630_01.03,34°35'36.31"S,149°43'59.59"E,33°39'22.07"S,148°58'20.60"E,33°56'33.04"S,150°56'26.27"E,35°13'59.66"S,148°30'28.55"E,35°31'29.86"S,150°30'44.82"E,-34.59342,149.73322,-33.65613,148.97239,-33.94251,150.94063,-35.23324,148.50793,-35.52496,150.51245,LT05_L1GS_090084_19960622_20170104_01_T2,LT50900841996174ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841996174ASA00
