Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Date L-1 Generated,WRS Path,WRS Row,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec
LM05_L1TP_090084_19850115_20180405_01_T2,LM50900841985015ASA01,1985/01/15,T2,2018/04/05, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1TP_090084_19850216_20180405_01_T2,LM50900841985047ASA01,1985/02/16,T2,2018/04/05, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1TP_090084_19850304_20180405_01_T2,LM50900841985063ASA01,1985/03/04,T2,2018/04/05, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1GS_090084_19850320_20180406_01_T2,LM50900841985079ASA01,1985/03/20,T2,2018/04/06, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1TP_090084_19850405_20180406_01_T2,LM50900841985095ASA01,1985/04/05,T2,2018/04/06, 090, 084,-34.58333,149.85001,-33.69487,149.07542,-33.98092,151.04639,-35.1749,148.63705,-35.46611,150.6424
LM05_L1TP_090084_19850421_20180406_01_T2,LM50900841985111ASA01,1985/04/21,T2,2018/04/06, 090, 084,-34.58333,149.85001,-33.69487,149.07542,-33.98092,151.04639,-35.1749,148.63705,-35.46611,150.6424
LM05_L1TP_090084_19850523_20180406_01_T2,LM50900841985143ASA01,1985/05/23,T2,2018/04/06, 090, 084,-34.58333,149.85001,-33.69487,149.07542,-33.98092,151.04639,-35.1749,148.63705,-35.46611,150.6424
LM05_L1TP_090084_19850608_20180406_01_T2,LM50900841985159ASA01,1985/06/08,T2,2018/04/06, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1TP_090084_19850624_20180406_01_T2,LM50900841985175ASA01,1985/06/24,T2,2018/04/06, 090, 084,-34.58333,149.81667,-33.69487,149.04208,-33.98092,151.01305,-35.1749,148.60371,-35.46611,150.60905
LM05_L1TP_090084_19850710_20180406_01_T2,LM50900841985191ASA01,1985/07/10,T2,2018/04/06, 090, 084,-34.58333,149.8,-33.69487,149.02542,-33.98092,150.99638,-35.1749,148.58705,-35.46611,150.59239
